Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,n2,eps,brain_region,p_bon,p_fdr
condition,0.49032433799923386,1,9,0.49032433799923386,0.48093232414590975,0.5055024497208408,0.5055024497208408,0.013367878833525108,1.0,1,1.0,1.0
feedback_type,0.5039187376696234,1,9,0.5039187376696234,0.9886413508835903,0.3460538801693931,0.3460538801693931,0.013738507565416782,1.0,1,1.0,1.0
condition * feedback_type,4.884340146677164,1,9,4.884340146677164,29.37653220478175,0.00042183174595815333,0.00042183174595815333,0.13316342306998555,1.0,1,0.03037188570898704,0.11091790238858905
condition,0.69968133391238,1,9,0.69968133391238,1.6076734139862776,0.23663699749160383,0.23663699749160383,0.018521234700844286,1.0,2,1.0,1.0
feedback_type,4.3035111087867195,1,9,4.3035111087867195,8.391130656656001,0.017688886082492635,0.017688886082492635,0.11391805872230251,1.0,2,1.0,0.8843895470582677
condition * feedback_type,0.23874944278971189,1,9,0.23874944278971189,0.40920063967409315,0.5383159439253931,0.5383159439253931,0.0063199263011321114,1.0,2,1.0,1.0
condition,1.607413341141139,1,9,1.607413341141139,1.6393035528401783,0.23243322413825845,0.23243322413825845,0.020592469560003546,1.0,3,1.0,1.0
feedback_type,0.9985848438603051,1,9,0.9985848438603051,1.8482533785149757,0.20706991013273088,0.20706991013273088,0.012792806600495088,1.0,3,1.0,1.0
condition * feedback_type,6.6765698375927975,1,9,6.6765698375927975,25.786054108239767,0.0006646339719678471,0.0006646339719678471,0.08553310939192674,1.0,3,0.04785364598168499,0.11091790238858905
condition,0.44637458976568845,1,9,0.44637458976568845,0.5363957595827281,0.48256660858791267,0.48256660858791267,0.0069778642027151835,1.0,4,1.0,1.0
feedback_type,0.2196632468337263,1,9,0.2196632468337263,0.27500151850560295,0.6126656433035198,0.6126656433035198,0.0034338431036987057,1.0,4,1.0,1.0
condition * feedback_type,5.357394733147268,1,9,5.357394733147268,23.204615156359935,0.0009507837418414006,0.0009507837418414006,0.08374843412987826,1.0,4,0.06845642941258084,0.11091790238858905
condition,0.32401106085327747,1,9,0.32401106085327747,0.25823442843663563,0.6235563435657145,0.6235563435657145,0.006355081296503647,1.0,5,1.0,1.0
feedback_type,0.06179726075960433,1,9,0.06179726075960433,0.07375158150491695,0.7920774378349763,0.7920774378349763,0.0012120778068325248,1.0,5,1.0,1.0
condition * feedback_type,3.1672832527171924,1,9,3.1672832527171924,9.894699278906673,0.011821272085950341,0.011821272085950341,0.06212239331294625,1.0,5,0.8511315901884245,0.6919113560702396
condition,0.7571606385468489,1,9,0.7571606385468489,2.309262751665163,0.16292465130068895,0.16292465130068895,0.0220241815605519,1.0,6,1.0,1.0
feedback_type,2.9098022527631775,1,9,2.9098022527631775,2.7150127059851537,0.13381175028186149,0.13381175028186149,0.08463991636326175,1.0,6,1.0,1.0
condition * feedback_type,0.5406370241487615,1,9,0.5406370241487615,0.671441503727328,0.4337118040467147,0.4337118040467147,0.015725973290239996,1.0,6,1.0,1.0
condition,0.5362602083488084,1,9,0.5362602083488084,0.7220179605490089,0.41751259882028474,0.41751259882028474,0.008133197855784506,1.0,7,1.0,1.0
feedback_type,1.2097852305665426,1,9,1.2097852305665426,2.545583682113109,0.14506740808106425,0.14506740808106425,0.01834822440676701,1.0,7,1.0,1.0
condition * feedback_type,0.05093426424060965,1,9,0.05093426424060965,0.1736509274502239,0.6866503336481286,0.6866503336481286,0.0007724952220177318,1.0,7,1.0,1.0
condition,0.5596338819808571,1,9,0.5596338819808571,0.5033714378000437,0.4959907730051853,0.4959907730051853,0.015204170757623222,1.0,8,1.0,1.0
feedback_type,0.3698184064621241,1,9,0.3698184064621241,0.5258757665202138,0.4867717510274869,0.4867717510274869,0.010047251215848613,1.0,8,1.0,1.0
condition * feedback_type,3.914734833031451,1,9,3.914734833031451,6.837220041683635,0.028048735950902067,0.028048735950902067,0.10635577792672277,1.0,8,1.0,1.0
condition,0.9984725257659498,1,9,0.9984725257659498,0.8066767298760147,0.3924983039756791,0.3924983039756791,0.020655029118798327,1.0,9,1.0,1.0
feedback_type,3.478697301879854,1,9,3.478697301879854,9.881238982422182,0.011862071928520328,0.011862071928520328,0.07196251495322205,1.0,9,0.8540691788534637,0.6919113560702396
condition * feedback_type,0.19116079938961272,1,9,0.19116079938961272,0.23221814157422238,0.6413859462701438,0.6413859462701438,0.003954472232209183,1.0,9,1.0,1.0
condition,0.001112587788133824,1,9,0.001112587788133824,0.005692388703645818,0.9415087991731419,0.9415087991731419,3.328421175553252e-05,1.0,10,1.0,1.0
feedback_type,3.327134385677446,1,9,3.327134385677446,4.934852263903229,0.05343719691013673,0.05343719691013673,0.09953465840008086,1.0,10,1.0,1.0
condition * feedback_type,0.07690652626139327,1,9,0.07690652626139327,0.09718687756703716,0.7623328723825996,0.7623328723825996,0.002300738092551077,1.0,10,1.0,1.0
condition,0.12303489560918301,1,9,0.12303489560918301,0.12341978324713876,0.7334387400644987,0.7334387400644987,0.0018733312843353558,1.0,11,1.0,1.0
feedback_type,0.6409282259582454,1,9,0.6409282259582454,0.8754607116014445,0.37387260056304805,0.37387260056304805,0.009758783398451763,1.0,11,1.0,1.0
condition * feedback_type,0.0993936804939306,1,9,0.0993936804939306,0.07837151738896482,0.7858443596682548,0.7858443596682548,0.0015133697656473301,1.0,11,1.0,1.0
condition,0.015366658036881038,1,9,0.015366658036881038,0.010708428463415649,0.9198500181176041,0.9198500181176041,0.00017181146104054305,1.0,12,1.0,1.0
feedback_type,5.5375568697420485,1,9,5.5375568697420485,3.2390987632263,0.10543244046433338,0.10543244046433338,0.06191429093443833,1.0,12,1.0,1.0
condition * feedback_type,3.439185406063669,1,9,3.439185406063669,1.9575325376999788,0.1952841887969007,0.1952841887969007,0.03845282871441091,1.0,12,1.0,1.0
condition,0.022374119430707412,1,9,0.022374119430707412,0.01717807664660052,0.898606746044111,0.898606746044111,0.00035546798138940143,1.0,13,1.0,1.0
feedback_type,4.346209132267019,1,9,4.346209132267019,3.334480638229028,0.10112682097469819,0.10112682097469819,0.06905023421045947,1.0,13,1.0,1.0
condition * feedback_type,1.2433833324157089,1,9,1.2433833324157089,0.7502395658643879,0.4088968865330815,0.4088968865330815,0.019754205953707325,1.0,13,1.0,1.0
condition,1.1618873126561169,1,9,1.1618873126561169,2.771359287198907,0.13032098431866324,0.13032098431866324,0.03195537038842578,1.0,14,1.0,1.0
feedback_type,0.724152217430758,1,9,0.724152217430758,0.8003756778899244,0.3942769369134353,0.3942769369134353,0.019916348232342396,1.0,14,1.0,1.0
condition * feedback_type,1.8831407912568903,1,9,1.8831407912568903,5.816267759213137,0.039140148260332235,0.039140148260332235,0.05179199464757174,1.0,14,1.0,1.0
condition,0.40666568051469,1,9,0.40666568051469,0.5465978240486888,0.4785496423410425,0.4785496423410425,0.006854849420435309,1.0,15,1.0,1.0
feedback_type,1.9665114106163393,1,9,1.9665114106163393,2.864118640023174,0.12482696416992368,0.12482696416992368,0.03314796465313205,1.0,15,1.0,1.0
condition * feedback_type,4.2747785120565265,1,9,4.2747785120565265,3.492203833305479,0.09448763090073231,0.09448763090073231,0.07205664114260431,1.0,15,1.0,1.0
condition,1.4519661961454953,1,9,1.4519661961454953,1.9005234895783172,0.20131659733753215,0.20131659733753215,0.03148184498100063,1.0,16,1.0,1.0
feedback_type,0.9169799470220132,1,9,0.9169799470220132,0.7273857530202831,0.4158514093196299,0.4158514093196299,0.019882157463079416,1.0,16,1.0,1.0
condition * feedback_type,0.0042632762077381425,1,9,0.0042632762077381425,0.0060846680933065896,0.9395313600057522,0.9395313600057522,9.243727645967266e-05,1.0,16,1.0,1.0
condition,0.47668753690062066,1,9,0.47668753690062066,0.24347586836803697,0.6335233166727123,0.6335233166727123,0.004518659761785232,1.0,17,1.0,1.0
feedback_type,0.9317072379178698,1,9,0.9317072379178698,1.345655511239372,0.2758860069535253,0.2758860069535253,0.008831923807190388,1.0,17,1.0,1.0
condition * feedback_type,1.0743841225609736,1,9,1.0743841225609736,1.7285856043047974,0.2211055266343917,0.2211055266343917,0.010184399480805649,1.0,17,1.0,1.0
condition,0.10393680961957696,1,9,0.10393680961957696,0.19055357389302358,0.6727410712305961,0.6727410712305961,0.0016889621130075235,1.0,18,1.0,1.0
feedback_type,0.062494474402503566,1,9,0.062494474402503566,0.09722674654895436,0.7622858472743822,0.7622858472743822,0.0010155285689879983,1.0,18,1.0,1.0
condition * feedback_type,5.460207903216705,1,9,5.460207903216705,5.673461528401013,0.041099298509305944,0.041099298509305944,0.08872779827889044,1.0,18,1.0,1.0
condition,1.5780508853326223e-05,1,9,1.5780508853326223e-05,4.987726612486782e-05,0.9945191476503016,0.9945191476503016,1.8909131199013236e-07,1.0,19,1.0,1.0
feedback_type,2.4700906810656678,1,9,2.4700906810656678,4.753027503666419,0.05716107840647073,0.05716107840647073,0.029598075192540887,1.0,19,1.0,1.0
condition * feedback_type,0.0058869022359475665,1,9,0.0058869022359475665,0.013884524396010388,0.9087881427737078,0.9087881427737078,7.054031512541094e-05,1.0,19,1.0,1.0
condition,2.477943329507442,1,9,2.477943329507442,3.4599602327140837,0.09579861590423812,0.09579861590423812,0.03979423151914706,1.0,20,1.0,1.0
feedback_type,0.015215397724214583,1,9,0.015215397724214583,0.012655205261205584,0.9128998348915316,0.9128998348915316,0.00024434984145244954,1.0,20,1.0,1.0
condition * feedback_type,0.785525934092261,1,9,0.785525934092261,1.2238152481462499,0.29730513513016465,0.29730513513016465,0.012615058832590549,1.0,20,1.0,1.0
condition,0.9202126573290947,1,9,0.9202126573290947,0.5964169548294007,0.45974669831044657,0.45974669831044657,0.014355517525558751,1.0,21,1.0,1.0
feedback_type,4.69907992048202,1,9,4.69907992048202,10.311842287077745,0.010638333401522237,0.010638333401522237,0.0733066684262701,1.0,21,0.765960004909601,0.6919113560702396
condition * feedback_type,0.0017477136002845839,1,9,0.0017477136002845839,0.002801004582906098,0.9589481720134643,0.9589481720134643,2.726471214965048e-05,1.0,21,1.0,1.0
condition,0.021325228475152863,1,9,0.021325228475152863,0.009950949522950834,0.9227259622978277,0.9227259622978277,0.00025005734383602853,1.0,22,1.0,1.0
feedback_type,1.161429884251739,1,9,1.161429884251739,1.9391645091962044,0.19720097494157016,0.19720097494157016,0.013618802361070324,1.0,22,1.0,1.0
condition * feedback_type,1.951117458324807,1,9,1.951117458324807,2.271085736393208,0.16607575655467469,0.16607575655467469,0.022878594229800254,1.0,22,1.0,1.0
condition,1.465083196338339,1,9,1.465083196338339,1.4150445555350544,0.2646552607359993,0.2646552607359993,0.017259670592993232,1.0,23,1.0,1.0
feedback_type,1.2175969578757115,1,9,1.2175969578757115,1.4578479338956067,0.25804549994012527,0.25804549994012527,0.014344115378900476,1.0,23,1.0,1.0
condition * feedback_type,0.31432052389455234,1,9,0.31432052389455234,0.4958815563896874,0.4991291662560186,0.4991291662560186,0.0037029082830216235,1.0,23,1.0,1.0
condition,0.7443767112227245,1,9,0.7443767112227245,3.111411170693365,0.11157108151034417,0.11157108151034417,0.009121882595045556,1.0,24,1.0,1.0
feedback_type,2.6746530294660262,1,9,2.6746530294660262,1.8751533197825365,0.20408178244871247,0.20408178244871247,0.03277624158498416,1.0,24,1.0,1.0
condition * feedback_type,0.4624912506604275,1,9,0.4624912506604275,1.0669128505126908,0.32860048967302935,0.32860048967302935,0.005667548199930052,1.0,24,1.0,1.0
