Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,28.0,-8.0,52.0,12.494319641306683,64272
1a,18.0,-62.0,60.0,10.448366000222489,
1b,-24.0,-10.0,52.0,9.96071700044093,
1c,-22.0,-10.0,60.0,9.896266073821334,
2,-24.0,-60.0,58.0,10.540641594877053,36728
2a,-22.0,-80.0,32.0,7.566348739008339,
2b,-42.0,-66.0,-6.0,6.459952463445732,
2c,-30.0,-84.0,6.0,6.432748850840221,
3,-6.0,28.0,60.0,9.851458788458963,142512
3a,6.0,24.0,62.0,9.287717865432091,
3b,-42.0,22.0,-10.0,9.2812221782605,
3c,44.0,22.0,-14.0,9.182375630553413,
4,-54.0,2.0,34.0,7.843776197919315,5288
4a,-54.0,4.0,24.0,6.563914195261897,
5,46.0,-62.0,52.0,7.601223079297525,10632
5a,40.0,-60.0,42.0,7.184817524470645,
6,-38.0,-80.0,-38.0,7.390427967895474,26392
6a,-30.0,-82.0,-46.0,6.445594657965432,
6b,-10.0,-84.0,-34.0,6.133822873159044,
6c,34.0,-80.0,-46.0,6.034177188577422,
7,2.0,-26.0,26.0,7.014494910533654,3832
7a,-2.0,-36.0,24.0,4.806094532279613,
7b,4.0,-26.0,20.0,4.2809565599928305,
7c,0.0,-44.0,12.0,2.9603007403454256,
8,10.0,-74.0,28.0,6.787559733331539,38424
8a,-4.0,-78.0,24.0,6.014390851476737,
8b,12.0,-68.0,-6.0,5.8536133339325,
8c,2.0,-78.0,20.0,5.732661382194588,
9,62.0,-26.0,-18.0,6.35719792928654,6656
9a,70.0,-32.0,-14.0,5.502864684075743,
9b,50.0,-28.0,-10.0,4.786614132166876,
9c,68.0,-48.0,-12.0,4.409800354199138,
10,-46.0,14.0,46.0,6.103772372863866,4872
10a,-38.0,26.0,48.0,3.8074560060146987,
10b,-56.0,20.0,36.0,3.183747484599823,
11,-50.0,-56.0,54.0,5.98787635548355,11432
11a,-48.0,-64.0,42.0,5.809179596164041,
11b,-62.0,-58.0,34.0,5.074477931041725,
11c,-36.0,-60.0,36.0,4.952446744900922,
12,-24.0,-36.0,24.0,5.786864626532564,728
12a,-26.0,-46.0,20.0,5.1268339796834015,
13,18.0,-26.0,2.0,5.669948795407635,3064
13a,10.0,-26.0,-10.0,4.015891418524273,
13b,10.0,-16.0,-2.0,2.822206245432434,
14,-52.0,-26.0,-12.0,5.30283003969079,4624
14a,-64.0,-26.0,-18.0,5.240560788278577,
14b,-56.0,-40.0,-2.0,3.4867552183926827,
15,50.0,-68.0,-2.0,5.267199624815385,9152
15a,18.0,-90.0,-8.0,4.837605748055685,
15b,32.0,-86.0,2.0,4.434300297212873,
15c,40.0,-82.0,-6.0,3.9512518194723127,
16,-16.0,-58.0,-54.0,5.1833686276265105,2432
16a,-14.0,-70.0,-48.0,4.006061749941435,
16b,-26.0,-66.0,-58.0,3.342125862970093,
17,-54.0,-24.0,36.0,5.105362016727983,6160
17a,-46.0,-32.0,16.0,4.842394212273089,
17b,-58.0,-18.0,28.0,4.317709031276226,
17c,-38.0,-28.0,16.0,3.6983420663341735,
18,-38.0,-46.0,-40.0,5.03004569502844,1720
18a,-32.0,-34.0,-40.0,2.9313354578820916,
19,-12.0,-26.0,40.0,4.835488990189714,1056
20,14.0,-56.0,-54.0,4.7650292072630585,3536
20a,28.0,-46.0,-52.0,4.329352512288748,
20b,42.0,-44.0,-38.0,3.247165720503166,
20c,18.0,-42.0,-54.0,3.188241301872823,
21,14.0,-22.0,42.0,4.622190608934432,1312
22,-8.0,-22.0,-42.0,4.565620200446949,1824
22a,0.0,-26.0,-38.0,4.108532421515629,
22b,10.0,-24.0,-40.0,3.9891796896145486,
22c,-14.0,-26.0,-36.0,2.836199284248726,
23,-10.0,-32.0,-8.0,4.561021739948528,2352
23a,-18.0,-30.0,-6.0,4.382118804239569,
23b,-14.0,-28.0,4.0,3.975683009662298,
23c,-6.0,-18.0,-4.0,3.076397953613828,
24,-26.0,-40.0,-20.0,4.452303971305376,1600
24a,-32.0,-28.0,-30.0,2.9878600880391533,
25,-48.0,0.0,-44.0,4.27353997692276,1312
26,30.0,-40.0,-18.0,4.240165276415409,416
27,-4.0,24.0,-4.0,3.899392432425215,800
27a,-8.0,16.0,-12.0,3.826137337948279,
27b,-4.0,8.0,-2.0,2.700936330561824,
28,32.0,38.0,34.0,3.886964221980512,840
28a,30.0,30.0,38.0,3.2791026249103243,
29,46.0,-6.0,-8.0,3.780790483973807,928
30,-22.0,4.0,4.0,3.775780885880368,600
31,40.0,-28.0,16.0,3.7328718380154164,536
31a,44.0,-36.0,18.0,3.614688474400184,
32,58.0,-34.0,18.0,3.544812529059923,904
32a,64.0,-30.0,22.0,3.5129818846596224,
